Generation,BestFitness,MeanFitness,BestWeights
1,5724385.333333334,3381989.722222222,"[268.00804022200316, 24.978931116763633, 3.7148624567728845, 1454.2684929578545]"
2,5846507.333333334,3384825.8888888895,"[157.69952032603737, 25.383984166583964, 46.51874483244008, 1489.7792448706753]"
3,7008334.666666666,4263370.222222222,"[317.0047259413326, 19.64297626736971, 64.04091459038408, 1479.2548869823972]"
4,5560888.666666666,3516012.4999999995,"[329.35057676629356, 33.74243395435109, 74.83820237904713, 1487.8870265886044]"
5,5364025.333333334,4086526.8888888895,"[224.8324870417194, 44.98431101908436, 57.8162066280164, 1449.32639353967]"
6,6521848.666666666,4310361.611111111,"[269.0523049463206, 31.29063997715531, -25.344049224891357, 1483.6791209074652]"
7,7344670.666666666,4443383.388888889,"[240.74034492130323, 43.46394932672409, -52.51243923159206, 1485.2250644898138]"
8,6414408.0,4363970.722222222,"[260.42319834365276, 42.673628007152104, -17.287506072208657, 1498.5897103902273]"
9,7100426.666666666,4488928.888888889,"[316.2259078951497, 31.199887497670062, -55.662070040001836, 1490.8256863016263]"
10,5923918.0,4295569.055555556,"[348.3701216639929, 55.13061903516574, -118.56167858401982, 1501.2277851990398]"
11,7702361.333333334,4857686.166666667,"[409.2392129479399, 30.0226669221791, -103.17587654831755, 1498.2468850329558]"
