gradient_weight,merge_weight,Score,MaxTile
0.0,0.0,298,64
0.0,0.0,506,256
0.0,0.0,560,256
0.0,0.0,628,256
0.0,0.0,586,256
0.0,0.0,436,128
0.0,0.0,588,256
0.0,0.0,538,256
0.0,0.0,608,256
0.0,0.0,496,256
0.0,10.0,970,512
0.0,10.0,1148,512
0.0,10.0,2960,2048
0.0,10.0,2316,2048
0.0,10.0,2652,2048
0.0,10.0,626,256
0.0,10.0,2562,2048
0.0,10.0,2952,2048
0.0,10.0,1766,1024
0.0,10.0,1774,1024
0.0,20.0,782,512
0.0,20.0,1528,1024
0.0,20.0,602,128
0.0,20.0,1614,1024
0.0,20.0,2962,2048
0.0,20.0,1208,512
0.0,20.0,1050,512
0.0,20.0,3102,2048
0.0,20.0,2526,2048
0.0,20.0,1750,1024
0.0,30.0,1066,512
0.0,30.0,806,512
0.0,30.0,1914,1024
0.0,30.0,1078,512
0.0,30.0,2608,2048
0.0,30.0,2576,2048
0.0,30.0,2004,1024
0.0,30.0,1822,1024
0.0,30.0,2722,2048
0.0,30.0,2520,2048
0.0,40.0,412,128
0.0,40.0,1292,512
0.0,40.0,1498,1024
0.0,40.0,1766,1024
0.0,40.0,2088,1024
0.0,40.0,1242,512
0.0,40.0,1570,1024
0.0,40.0,2246,1024
0.0,40.0,1900,1024
0.0,40.0,3314,2048
0.0,50.0,1220,512
0.0,50.0,980,512
0.0,50.0,1450,1024
0.0,50.0,1644,1024
0.0,50.0,500,256
0.0,50.0,860,512
0.0,50.0,3352,2048
0.0,50.0,1392,512
0.0,50.0,1928,1024
0.0,50.0,2076,1024
0.0,60.0,1666,1024
0.0,60.0,2028,1024
0.0,60.0,2192,1024
0.0,60.0,2034,1024
0.0,60.0,1684,1024
0.0,60.0,376,128
0.0,60.0,2096,1024
0.0,60.0,1774,1024
0.0,60.0,2064,1024
0.0,60.0,3024,2048
0.0,70.0,690,256
0.0,70.0,926,512
0.0,70.0,1460,1024
0.0,70.0,1550,1024
0.0,70.0,1046,512
0.0,70.0,2014,1024
0.0,70.0,1114,512
0.0,70.0,2100,1024
0.0,70.0,3040,2048
0.0,70.0,1574,1024
0.0,80.0,732,256
0.0,80.0,1060,512
0.0,80.0,1892,1024
0.0,80.0,1768,1024
0.0,80.0,1044,512
0.0,80.0,1052,512
0.0,80.0,3058,2048
0.0,80.0,3844,2048
0.0,80.0,882,256
0.0,80.0,1798,1024
0.0,90.0,1182,512
0.0,90.0,1784,1024
0.0,90.0,1654,1024
0.0,90.0,2098,1024
0.0,90.0,1946,1024
0.0,90.0,378,128
0.0,90.0,750,512
0.0,90.0,1556,1024
0.0,90.0,2074,1024
0.0,90.0,1706,1024
0.0,100.0,896,512
0.0,100.0,962,512
0.0,100.0,2248,1024
0.0,100.0,2840,2048
0.0,100.0,1568,1024
0.0,100.0,1990,1024
0.0,100.0,4032,2048
0.0,100.0,968,512
0.0,100.0,2150,1024
0.0,100.0,4132,2048
10.0,0.0,7482,4096
10.0,0.0,7738,4096
10.0,0.0,12280,8192
10.0,0.0,14406,8192
10.0,0.0,6198,4096
10.0,0.0,16298,8192
10.0,0.0,10406,8192
10.0,0.0,4154,2048
10.0,0.0,12240,8192
10.0,0.0,24642,16384
10.0,10.0,7744,4096
10.0,10.0,7938,4096
10.0,10.0,8436,4096
10.0,10.0,12730,8192
10.0,10.0,15242,8192
10.0,10.0,7824,4096
10.0,10.0,8276,4096
10.0,10.0,12344,8192
10.0,10.0,16294,8192
10.0,10.0,16422,8192
10.0,20.0,3964,2048
10.0,20.0,8236,4096
10.0,20.0,12500,8192
10.0,20.0,12314,8192
10.0,20.0,8244,4096
10.0,20.0,15416,8192
10.0,20.0,6418,4096
10.0,20.0,11468,8192
10.0,20.0,8294,4096
10.0,20.0,19970,16384
10.0,30.0,6204,4096
10.0,30.0,7684,4096
10.0,30.0,8194,4096
10.0,30.0,12188,8192
10.0,30.0,11882,8192
10.0,30.0,3772,2048
10.0,30.0,4038,2048
10.0,30.0,7232,4096
10.0,30.0,6168,4096
10.0,30.0,7248,4096
10.0,40.0,2600,2048
10.0,40.0,2216,1024
10.0,40.0,5846,4096
10.0,40.0,6870,4096
10.0,40.0,7264,4096
10.0,40.0,7244,4096
10.0,40.0,5700,4096
10.0,40.0,8230,4096
10.0,40.0,8068,4096
10.0,40.0,10268,8192
10.0,40.0,12050,8192
10.0,50.0,4140,2048
10.0,50.0,4132,2048
10.0,50.0,4260,2048
10.0,50.0,4308,2048
10.0,50.0,3966,2048
10.0,50.0,4138,2048
10.0,50.0,5024,4096
10.0,50.0,6338,4096
10.0,50.0,8236,4096
10.0,50.0,7600,4096
10.0,60.0,3630,2048
10.0,60.0,4138,2048
10.0,60.0,4166,2048
10.0,60.0,6192,4096
10.0,60.0,6176,4096
10.0,60.0,4180,2048
10.0,60.0,8124,4096
10.0,60.0,7528,4096
10.0,60.0,5120,4096
10.0,60.0,7384,4096
10.0,70.0,3440,2048
10.0,70.0,3106,2048
10.0,70.0,4176,2048
10.0,70.0,4052,2048
10.0,70.0,5196,4096
10.0,70.0,5992,4096
10.0,70.0,6196,4096
10.0,70.0,5104,4096
10.0,70.0,6750,4096
10.0,70.0,7304,4096
10.0,80.0,4152,2048
10.0,80.0,3172,2048
10.0,80.0,4132,2048
10.0,80.0,4244,2048
10.0,80.0,5364,4096
10.0,80.0,4184,2048
10.0,80.0,3908,2048
10.0,80.0,5236,4096
10.0,80.0,7532,4096
10.0,80.0,9288,8192
10.0,90.0,1570,1024
10.0,90.0,3604,2048
10.0,90.0,3382,2048
10.0,90.0,3808,2048
10.0,90.0,4212,2048
10.0,90.0,4156,2048
10.0,90.0,6204,4096
10.0,90.0,5702,4096
10.0,90.0,6070,4096
10.0,90.0,7210,4096
10.0,100.0,852,512
10.0,100.0,1896,1024
10.0,100.0,2352,2048
10.0,100.0,2988,2048
10.0,100.0,4002,2048
10.0,100.0,4438,4096
10.0,100.0,4202,2048
10.0,100.0,7186,4096
10.0,100.0,7254,4096
10.0,100.0,7722,4096
20.0,0.0,8066,4096
20.0,0.0,8268,4096
20.0,0.0,12382,8192
20.0,0.0,12094,8192
20.0,0.0,15274,8192
20.0,0.0,16364,8192
20.0,0.0,16300,8192
20.0,0.0,12478,8192
20.0,0.0,20504,16384
20.0,0.0,21536,16384
20.0,10.0,7712,4096
20.0,10.0,8138,4096
20.0,10.0,11836,8192
20.0,10.0,14274,8192
20.0,10.0,15916,8192
20.0,10.0,16408,8192
20.0,10.0,15912,8192
20.0,10.0,11930,8192
20.0,10.0,14370,8192
20.0,10.0,15924,8192
20.0,20.0,14354,8192
20.0,20.0,14180,8192
20.0,20.0,14360,8192
20.0,20.0,16372,8192
20.0,20.0,16368,8192
20.0,20.0,14408,8192
20.0,20.0,16376,8192
20.0,20.0,16404,8192
20.0,20.0,22274,16384
20.0,20.0,22632,16384
20.0,30.0,7522,4096
20.0,30.0,7712,4096
20.0,30.0,8236,4096
20.0,30.0,12612,8192
20.0,30.0,10186,8192
20.0,30.0,14806,8192
20.0,30.0,15894,8192
20.0,30.0,16358,8192
20.0,30.0,16380,8192
20.0,30.0,12696,8192
20.0,40.0,6356,4096
20.0,40.0,7004,4096
20.0,40.0,8140,4096
20.0,40.0,7648,4096
20.0,40.0,8234,4096
20.0,40.0,14402,8192
20.0,40.0,16398,8192
20.0,40.0,16408,8192
20.0,40.0,14644,8192
20.0,40.0,16408,8192
20.0,50.0,6386,4096
20.0,50.0,8258,4096
20.0,50.0,8488,4096
20.0,50.0,8232,4096
20.0,50.0,7128,4096
20.0,50.0,12380,8192
20.0,50.0,8230,4096
20.0,50.0,12252,8192
20.0,50.0,13496,8192
20.0,50.0,16390,8192
20.0,60.0,4388,2048
20.0,60.0,6080,4096
20.0,60.0,4110,2048
20.0,60.0,6724,4096
20.0,60.0,6262,4096
20.0,60.0,7700,4096
20.0,60.0,8146,4096
20.0,60.0,11238,8192
20.0,60.0,15956,8192
20.0,60.0,13540,8192
20.0,70.0,1366,1024
20.0,70.0,4258,2048
20.0,70.0,4162,2048
20.0,70.0,4206,2048
20.0,70.0,6014,4096
20.0,70.0,7480,4096
20.0,70.0,7516,4096
20.0,70.0,10076,8192
20.0,70.0,13376,8192
20.0,70.0,11404,8192
20.0,80.0,4128,2048
20.0,80.0,4218,2048
20.0,80.0,5228,4096
20.0,80.0,6776,4096
20.0,80.0,7800,4096
20.0,80.0,6928,4096
20.0,80.0,6232,4096
20.0,80.0,6178,4096
20.0,80.0,8172,4096
20.0,80.0,10456,8192
20.0,90.0,4202,4096
20.0,90.0,4186,2048
20.0,90.0,6442,4096
20.0,90.0,6154,4096
20.0,90.0,5546,4096
20.0,90.0,7276,4096
20.0,90.0,7236,4096
20.0,90.0,8164,4096
20.0,90.0,7742,4096
20.0,90.0,12226,8192
20.0,100.0,1638,1024
20.0,100.0,3030,2048
20.0,100.0,4252,2048
20.0,100.0,4204,2048
20.0,100.0,4290,2048
20.0,100.0,6314,4096
20.0,100.0,7764,4096
20.0,100.0,6724,4096
20.0,100.0,7212,4096
20.0,100.0,14356,8192
30.0,0.0,4190,2048
30.0,0.0,7230,4096
30.0,0.0,11292,8192
30.0,0.0,15912,8192
30.0,0.0,16358,8192
30.0,0.0,16404,8192
30.0,0.0,15690,8192
30.0,0.0,16288,8192
