gradient_weight,merge_weight,mean_score,mean_max_tile,median_score,median_max_tile
0.0,0.0,524.4,224.0,560,256
0.0,10.0,1972.6,1356.8,2316,2048
0.0,20.0,1712.4,1088.0,1614,1024
0.0,30.0,1911.6,1280.0,2004,1024
0.0,40.0,1732.8,934.4,1766,1024
0.0,50.0,1540.2,844.8,1450,1024
0.0,60.0,1893.8,1036.8,2034,1024
0.0,70.0,1551.4,896.0,1550,1024
0.0,80.0,1713.0,921.6,1768,1024
0.0,90.0,1512.8,832.0,1706,1024
0.0,100.0,2178.6,1177.6,2150,1024
10.0,0.0,11584.4,7168.0,12240,8192
10.0,10.0,11325.0,6144.0,12344,8192
10.0,20.0,10682.4,6758.4,11468,8192
10.0,30.0,7461.0,4505.6,7248,4096
10.0,40.0,7375.6,4608.0,7264,4096
10.0,50.0,5214.2,2867.2,4308,2048
10.0,60.0,5663.8,3276.8,6176,4096
10.0,70.0,5131.6,3276.8,5196,4096
10.0,80.0,5121.2,3276.8,4244,2048
10.0,90.0,4591.8,2764.8,4212,2048
10.0,100.0,4289.2,2611.2,4202,2048
20.0,0.0,14326.6,9011.2,15274,8192
20.0,10.0,13242.0,7372.8,14370,8192
20.0,20.0,16772.8,9830.4,16372,8192
20.0,30.0,12240.2,6963.2,12696,8192
20.0,40.0,11564.2,6144.0,14402,8192
20.0,50.0,10124.0,5734.4,8488,4096
20.0,60.0,8414.4,4915.2,7700,4096
20.0,70.0,6985.8,4403.2,7480,4096
20.0,80.0,6611.6,4096.0,6776,4096
20.0,90.0,6917.4,4300.8,7236,4096
20.0,100.0,5978.4,3379.2,6314,4096
30.0,0.0,13594.2,7168.0,16184,8192
30.0,10.0,15036.6,9216.0,15888,8192
30.0,20.0,13322.2,6963.2,15924,8192
30.0,30.0,13093.8,6963.2,15188,8192
30.0,40.0,14527.8,8601.6,14368,8192
30.0,50.0,13431.6,8601.6,12244,8192
30.0,60.0,12490.6,6963.2,15876,8192
30.0,70.0,9965.6,6144.0,8138,4096
30.0,80.0,9518.0,5529.6,8490,4096
30.0,90.0,8842.2,5939.2,10570,8192
30.0,100.0,8155.4,4710.4,8198,4096
40.0,0.0,15707.6,9011.2,16156,8192
40.0,10.0,13296.6,7782.4,13468,8192
40.0,20.0,14179.2,7782.4,15456,8192
40.0,30.0,15250.2,9011.2,15280,8192
40.0,40.0,12531.0,6963.2,15876,8192
40.0,50.0,13468.4,8192.0,14374,8192
40.0,60.0,13055.8,7987.2,14380,8192
